0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:52:42 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:52:42 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:53:16 +0530] "GET /TwadWeb/initialPayment.do HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:53:16 +0530] "GET /TwadWeb/library/img/border_bg.gif HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:10 +0530] "GET /TwadWeb/index.do HTTP/1.1" 200 13174
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:11 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:20 +0530] "GET /TwadWeb/adminLogin.do HTTP/1.1" 200 10153
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:20 +0530] "GET /TwadWeb/library/login/scree.css HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:20 +0530] "GET /TwadWeb/library/login/jquery-ui.min.css HTTP/1.1" 200 30169
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:20 +0530] "GET /TwadWeb/library/img/EC_logo.jpg HTTP/1.1" 200 18025
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:20 +0530] "GET /TwadWeb/library/login/bootstrap.min.css HTTP/1.1" 200 109801
127.0.0.1 - - [15/Feb/2019:22:54:42 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [15/Feb/2019:22:54:42 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2019:22:54:42 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:42 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35078
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:43 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:43 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:54:43 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
